"","komitet","procent"
"1","Liczba wyborców",451
"2","Liczba kart oddanych",178
"3","Liczba głosów ważnych",125
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",15.2
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",21.6
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",4
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",16.8
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.4
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",4.8
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",4
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.8
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.6
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.6
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.8
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.8
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.6
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",4
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",0
