"","komitet","procent"
"1","Liczba wyborców",2083
"2","Liczba kart oddanych",1038
"3","Liczba głosów ważnych",1038
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.09
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",29
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.48
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",16.28
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",33.04
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.29
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",4.91
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.1
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.25
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.39
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.06
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.19
"16","KOMITET WYBORCZY LEWICA",0.1
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.87
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",1.45
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.35
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.19
"21","KOMITET WYBORCZY WYBORCÓW MŁODZI GWARANCJĄ ZMIAN",0.96
