"","komitet","procent"
"1","Liczba wyborców",619
"2","Liczba kart oddanych",376
"3","Liczba głosów ważnych",302
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.26
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",33.77
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.32
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.61
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.8
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.33
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",6.95
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.99
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.99
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.99
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.66
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.33
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.66
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.33
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
