"","komitet","procent"
"1","Liczba wyborców",950
"2","Liczba kart oddanych",453
"3","Liczba głosów ważnych",340
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",5.59
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",26.18
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",45
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.12
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.47
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.29
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",2.35
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.88
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.59
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.18
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.18
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
