"","komitet","procent"
"1","Liczba wyborców",1545
"2","Liczba kart oddanych",694
"3","Liczba głosów ważnych",606
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.89
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",41.25
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.99
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",23.76
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.48
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.66
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.5
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.33
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.17
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.99
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.17
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.66
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.17
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.17
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.83
