"","komitet","procent"
"1","Liczba wyborców",1896
"2","Liczba kart oddanych",808
"3","Liczba głosów ważnych",723
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.43
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",37.48
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.28
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",24.48
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.91
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.41
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.28
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.14
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.28
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.24
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.14
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.11
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.14
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.14
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.55
