"","komitet","procent"
"1","Liczba wyborców",251
"2","Liczba kart oddanych",145
"3","Liczba głosów ważnych",117
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.69
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",67.52
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.85
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.69
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.82
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.71
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.85
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.85
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
