"","komitet","procent"
"1","Liczba wyborców",984
"2","Liczba kart oddanych",497
"3","Liczba głosów ważnych",353
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.83
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",53.26
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.85
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.22
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",12.18
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.85
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.28
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.28
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.13
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.85
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0.28
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.57
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.85
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.28
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.28
