"","komitet","procent"
"1","Liczba wyborców",340
"2","Liczba kart oddanych",164
"3","Liczba głosów ważnych",124
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",26.61
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",38.71
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",3.23
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",6.45
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.55
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.23
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.81
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.61
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.81
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
