"","komitet","procent"
"1","Liczba wyborców",2313
"2","Liczba kart oddanych",1159
"3","Liczba głosów ważnych",1159
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.83
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.59
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.17
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",46.85
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.83
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.43
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.52
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.17
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.45
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.17
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.12
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.17
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.69
