"","komitet","procent"
"1","Liczba wyborców",696
"2","Liczba kart oddanych",336
"3","Liczba głosów ważnych",224
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.29
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",65.18
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.8
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",11.61
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.45
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.45
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.45
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.45
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.34
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
