"","komitet","procent"
"1","Liczba wyborców",1310
"2","Liczba kart oddanych",611
"3","Liczba głosów ważnych",460
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.43
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",26.3
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.09
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",31.09
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.61
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.3
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.43
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.3
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.09
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.22
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.43
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.61
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.87
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
