"","komitet","procent"
"1","Liczba wyborców",1833
"2","Liczba kart oddanych",866
"3","Liczba głosów ważnych",806
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.68
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",34.12
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.25
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",21.46
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",29.28
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.24
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.5
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.86
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.12
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.62
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.12
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.25
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.5
