"","komitet","procent"
"1","Liczba wyborców",1757
"2","Liczba kart oddanych",711
"3","Liczba głosów ważnych",677
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20.53
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.69
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.18
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",33.68
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",30.87
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.59
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.77
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.3
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.66
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.22
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.74
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.48
