"","komitet","procent"
"1","Liczba wyborców",1380
"2","Liczba kart oddanych",674
"3","Liczba głosów ważnych",622
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.68
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.05
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.13
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",50.96
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.77
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.48
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.32
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.7
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.32
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.8
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.64
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.13
