"","komitet","procent"
"1","Liczba wyborców",493
"2","Liczba kart oddanych",364
"3","Liczba głosów ważnych",270
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.7
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",57.78
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.93
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",8.15
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.37
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.37
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.11
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.37
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",10
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",1.48
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.74
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
