"","komitet","procent"
"1","Liczba wyborców",1254
"2","Liczba kart oddanych",601
"3","Liczba głosów ważnych",464
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",53.02
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.16
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",5.39
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.4
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.22
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.22
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.65
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.65
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.43
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.82
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",1.72
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.43
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.86
