"","komitet","procent"
"1","Liczba wyborców",1363
"2","Liczba kart oddanych",670
"3","Liczba głosów ważnych",560
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",5.54
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",72.14
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.36
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",2.68
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.93
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.54
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.71
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.89
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.18
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.36
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.14
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.54
