"","komitet","procent"
"1","Liczba wyborców",1318
"2","Liczba kart oddanych",784
"3","Liczba głosów ważnych",589
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",5.77
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",78.78
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.02
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",3.06
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",7.13
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.51
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",2.21
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.02
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.17
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.17
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.17
