"","komitet","procent"
"1","Liczba wyborców",1266
"2","Liczba kart oddanych",701
"3","Liczba głosów ważnych",535
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.48
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",47.29
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.75
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",3.18
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.76
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.19
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.12
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.93
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.37
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",19.81
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.19
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.56
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.37
