"","komitet","procent"
"1","Liczba wyborców",789
"2","Liczba kart oddanych",472
"3","Liczba głosów ważnych",343
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.53
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",59.77
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.29
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",6.41
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.29
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.29
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.46
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.87
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.87
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.29
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.46
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.58
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.87
