"","komitet","procent"
"1","Liczba wyborców",633
"2","Liczba kart oddanych",322
"3","Liczba głosów ważnych",245
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",20
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",47.76
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.82
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",6.94
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.82
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.82
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.82
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.82
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.22
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
