"","komitet","procent"
"1","Liczba wyborców",499
"2","Liczba kart oddanych",253
"3","Liczba głosów ważnych",191
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.99
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",27.75
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.09
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.9
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",38.22
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.05
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",5.24
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.05
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.05
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.52
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.52
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.57
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.52
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.52
