"","komitet","procent"
"1","Liczba wyborców",279
"2","Liczba kart oddanych",180
"3","Liczba głosów ważnych",145
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.79
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",26.9
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.38
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",4.83
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",39.31
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.69
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.38
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",6.9
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.38
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.69
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.76
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0
