"","komitet","procent"
"1","Liczba wyborców",492
"2","Liczba kart oddanych",270
"3","Liczba głosów ważnych",230
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",7.83
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",65.65
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.87
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.7
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",10
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.3
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.43
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.87
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.43
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.87
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.74
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.3
