"","komitet","procent"
"1","Liczba wyborców",1202
"2","Liczba kart oddanych",589
"3","Liczba głosów ważnych",404
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.15
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",43.56
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.74
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",6.93
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.73
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.99
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.49
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.5
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.5
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.24
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.72
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.25
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.97
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.24
