"","komitet","procent"
"1","Liczba wyborców",392
"2","Liczba kart oddanych",196
"3","Liczba głosów ważnych",148
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",22.3
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",36.49
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.68
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",7.43
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.97
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",2.7
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.68
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.35
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.35
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.68
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.68
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.35
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.68
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.68
