"","komitet","procent"
"1","Liczba wyborców",1419
"2","Liczba kart oddanych",833
"3","Liczba głosów ważnych",683
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.1
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",73.94
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.15
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",4.54
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",7.17
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.17
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.59
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.15
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.29
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.44
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.29
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.29
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.29
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.59
