"","komitet","procent"
"1","Liczba wyborców",1486
"2","Liczba kart oddanych",877
"3","Liczba głosów ważnych",657
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.31
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",16.13
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.37
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",25.72
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",20.24
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.61
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.07
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.46
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.76
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.91
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.22
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",1.52
"16","KOMITET WYBORCZY LEWICA",1.22
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.04
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.91
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.37
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.13
