"","komitet","procent"
"1","Liczba wyborców",645
"2","Liczba kart oddanych",256
"3","Liczba głosów ważnych",189
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",5.29
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",60.85
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.53
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.47
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.29
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.06
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.53
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.12
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",3.7
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.06
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.53
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.06
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.53
