"","komitet","procent"
"1","Liczba wyborców",602
"2","Liczba kart oddanych",350
"3","Liczba głosów ważnych",259
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",22.39
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",15.06
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.77
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",30.89
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.53
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.16
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.39
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.39
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.77
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.54
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.47
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.39
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.32
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.39
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.54
