"","komitet","procent"
"1","Liczba wyborców",1223
"2","Liczba kart oddanych",782
"3","Liczba głosów ważnych",657
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.74
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",9.28
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.15
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",48.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.46
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.07
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.15
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.15
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.76
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.74
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.15
"16","KOMITET WYBORCZY LEWICA",0.15
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.04
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.76
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.61
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.91
