"","komitet","procent"
"1","Liczba wyborców",353
"2","Liczba kart oddanych",254
"3","Liczba głosów ważnych",173
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",27.17
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",32.37
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.16
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",6.36
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",21.97
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.16
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.58
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.16
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.16
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.58
"16","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.73
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",2.89
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.73
