"","komitet","procent"
"1","Liczba wyborców",1748
"2","Liczba kart oddanych",744
"3","Liczba głosów ważnych",684
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.54
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.9
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.58
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.86
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.44
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.17
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.46
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.15
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.63
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.15
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.32
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.58
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",3.22
