"","komitet","procent"
"1","Liczba wyborców",2243
"2","Liczba kart oddanych",944
"3","Liczba głosów ważnych",862
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.72
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.29
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.93
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.72
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",25.29
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.58
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",3.02
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.35
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.09
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.12
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.39
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.46
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.04
