"","komitet","procent"
"1","Liczba wyborców",1564
"2","Liczba kart oddanych",736
"3","Liczba głosów ważnych",677
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.59
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",33.09
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.59
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",23.63
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.45
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.89
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.89
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.15
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.44
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.33
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.59
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.89
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.15
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.18
