"","komitet","procent"
"1","Liczba wyborców",1259
"2","Liczba kart oddanych",748
"3","Liczba głosów ważnych",641
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.3
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",42.75
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.31
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",18.72
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16.22
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.78
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",5.46
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.31
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.87
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.62
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.78
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.16
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.25
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.47
