"","komitet","procent"
"1","Liczba wyborców",823
"2","Liczba kart oddanych",498
"3","Liczba głosów ważnych",475
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.47
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.89
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",60.84
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.26
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.42
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.26
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.79
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.42
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.58
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.84
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.21
