"","komitet","procent"
"1","Liczba wyborców",2138
"2","Liczba kart oddanych",946
"3","Liczba głosów ważnych",840
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.9
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.33
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.48
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",41.55
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",34.64
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.43
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.36
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.71
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.02
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.71
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.71
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.14
