"","komitet","procent"
"1","Liczba wyborców",470
"2","Liczba kart oddanych",220
"3","Liczba głosów ważnych",180
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.44
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",31.11
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.56
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",15
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",11.67
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.67
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"12","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"13","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0
"14","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"15","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",19.44
"16","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.56
"17","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"18","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.56
