"","komitet","procent"
"1","Liczba wyborców",1463
"2","Liczba kart oddanych",643
"3","Liczba głosów ważnych",590
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",19.32
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.05
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.19
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",47.29
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.14
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.19
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.68
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.34
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.73
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.34
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.69
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.17
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.88
