"","komitet","procent"
"1","Liczba wyborców",1220
"2","Liczba kart oddanych",655
"3","Liczba głosów ważnych",615
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",14.63
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.6
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.49
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",45.53
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.34
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.81
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.16
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",6.5
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.63
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.16
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.16
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.98
