"","komitet","procent"
"1","Liczba wyborców",1068
"2","Liczba kart oddanych",563
"3","Liczba głosów ważnych",523
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.05
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.06
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.96
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",55.83
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",17.78
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.1
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.96
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.63
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.38
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",2.49
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.38
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.38
