"","komitet","procent"
"1","Liczba wyborców",1260
"2","Liczba kart oddanych",531
"3","Liczba głosów ważnych",473
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",6.55
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",59.41
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.21
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",11.84
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.43
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.21
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.21
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.42
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.06
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.42
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.69
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"16","KOMITET WYBORCZY LEWICA",0.21
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.06
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.63
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.63
