"","komitet","procent"
"1","Liczba wyborców",1845
"2","Liczba kart oddanych",829
"3","Liczba głosów ważnych",783
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",12.39
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.68
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.13
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",47.77
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",26.56
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.79
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.77
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.15
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.7
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.53
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.77
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.77
