"","komitet","procent"
"1","Liczba wyborców",2203
"2","Liczba kart oddanych",1123
"3","Liczba głosów ważnych",972
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.36
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",45.06
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.31
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",9.88
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.17
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.21
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.62
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.31
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.21
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.31
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.41
"16","KOMITET WYBORCZY LEWICA",0.62
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.21
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.21
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.41
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.72
