"","komitet","procent"
"1","Liczba wyborców",1170
"2","Liczba kart oddanych",658
"3","Liczba głosów ważnych",497
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.95
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",12.27
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.01
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",29.38
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",19.92
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.6
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.4
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.61
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.2
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.6
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.2
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.2
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.23
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",1.41
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.4
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.6
