"","komitet","procent"
"1","Liczba wyborców",1339
"2","Liczba kart oddanych",708
"3","Liczba głosów ważnych",667
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",27.14
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.8
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.9
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.09
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.2
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.15
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.6
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.1
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.35
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.9
