"","komitet","procent"
"1","Liczba wyborców",1993
"2","Liczba kart oddanych",892
"3","Liczba głosów ważnych",842
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",30.64
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.9
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.12
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",44.06
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",15.68
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.83
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.12
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.24
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.04
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.12
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.83
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.59
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.83
