"","komitet","procent"
"1","Liczba wyborców",2240
"2","Liczba kart oddanych",1057
"3","Liczba głosów ważnych",901
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.32
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",9.54
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",1.33
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",36.07
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",28.63
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.55
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.66
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.78
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.44
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.33
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.44
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.55
"16","KOMITET WYBORCZY LEWICA",0.33
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",6.77
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.78
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.55
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.89
