"","komitet","procent"
"1","Liczba wyborców",2038
"2","Liczba kart oddanych",878
"3","Liczba głosów ważnych",839
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",30.75
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.5
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.6
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",38.74
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.95
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.6
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.12
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.72
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.81
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.67
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.36
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.19
