"","komitet","procent"
"1","Liczba wyborców",1396
"2","Liczba kart oddanych",787
"3","Liczba głosów ważnych",762
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",11.15
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.2
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.26
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",55.77
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.37
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.18
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.26
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.52
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.33
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.66
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.71
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.66
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.92
