"","komitet","procent"
"1","Liczba wyborców",1998
"2","Liczba kart oddanych",655
"3","Liczba głosów ważnych",655
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",18.32
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.89
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.92
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",33.89
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",31.6
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.22
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.46
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.5
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.15
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.07
"15","KOMITET WYBORCZY WYBORCÓW POLSKI KIERUNEK",0.15
"16","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.15
"17","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.68
