"","komitet","procent"
"1","Liczba wyborców",1876
"2","Liczba kart oddanych",858
"3","Liczba głosów ważnych",788
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",23.86
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",2.92
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.76
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",40.36
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",23.35
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.51
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.76
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",4.57
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.25
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.02
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.51
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.14
