"","komitet","procent"
"1","Liczba wyborców",1775
"2","Liczba kart oddanych",966
"3","Liczba głosów ważnych",889
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",9.79
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",4.84
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.56
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",54.33
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",18.22
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.56
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.11
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.67
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.04
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.67
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.29
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.12
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.79
