"","komitet","procent"
"1","Liczba wyborców",1704
"2","Liczba kart oddanych",1045
"3","Liczba głosów ważnych",1018
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",27.5
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",5.01
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.29
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",43.91
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",13.26
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.88
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.2
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.79
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",5.4
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.1
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.77
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.88
