"","komitet","procent"
"1","Liczba wyborców",1107
"2","Liczba kart oddanych",581
"3","Liczba głosów ważnych",555
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",24.32
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",1.98
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.72
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.34
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.16
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.26
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.36
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.08
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",3.6
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.54
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.36
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.26
