"","komitet","procent"
"1","Liczba wyborców",2160
"2","Liczba kart oddanych",1153
"3","Liczba głosów ważnych",1107
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",17.52
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",0.72
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.09
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",58.18
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",16.44
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.17
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.27
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",1.17
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.89
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.09
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.9
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.27
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.27
