"","komitet","procent"
"1","Liczba wyborców",1635
"2","Liczba kart oddanych",827
"3","Liczba głosów ważnych",764
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.08
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",3.66
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.52
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",48.04
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",22.51
"9","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",2.62
"10","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.65
"11","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.26
"12","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",7.33
"13","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.79
"14","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.65
"15","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.65
"16","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.23
