"","komitet","procent"
"1","Liczba wyborców",750
"2","Liczba kart oddanych",429
"3","Liczba głosów ważnych",318
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",10.69
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",16.67
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.94
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",42.45
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",14.15
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.63
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",3.14
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.94
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",2.83
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.31
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.89
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.94
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",0.31
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.63
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.26
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",2.2
