"","komitet","procent"
"1","Liczba wyborców",2327
"2","Liczba kart oddanych",1545
"3","Liczba głosów ważnych",1165
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.22
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",17.6
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.86
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",8.84
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",46.09
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",1.89
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",0.77
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.09
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.86
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.17
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",1.46
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.52
"16","KOMITET WYBORCZY LEWICA",0.26
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.75
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.26
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.34
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.03
