"","komitet","procent"
"1","Liczba wyborców",1004
"2","Liczba kart oddanych",562
"3","Liczba głosów ważnych",457
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",13.35
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",18.82
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0.88
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",14.88
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",40.7
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.88
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.53
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.22
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.09
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.22
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.66
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.22
"16","KOMITET WYBORCZY LEWICA",0.22
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",3.06
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.66
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.88
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.75
