"","komitet","procent"
"1","Liczba wyborców",1899
"2","Liczba kart oddanych",1043
"3","Liczba głosów ważnych",945
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",8.15
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",54.6
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",0
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",19.79
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",9.42
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.21
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.06
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",0.63
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",0.21
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.63
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",2.65
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.21
"16","KOMITET WYBORCZY LEWICA",0
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",1.59
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0.21
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",0.53
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",0.11
