"","komitet","procent"
"1","Liczba wyborców",873
"2","Liczba kart oddanych",512
"3","Liczba głosów ważnych",337
"4","KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ",21.66
"5","KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE",30.86
"6","KOMITET WYBORCZY POLSKA PARTIA PRACY - SIERPIEŃ 80",2.08
"7","KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP",4.45
"8","KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ",24.33
"9","KOMITET WYBORCZY NARODOWEGO ODRODZENIA POLSKI",0.89
"10","KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ",1.48
"11","KOMITET WYBORCZY RUCH PRZEŁOMU NARODOWEGO",1.19
"12","KOMITET WYBORCZY NASZ DOM POLSKA - SAMOOBRONA ANDRZEJA LEPPERA",1.48
"13","KOMITET WYBORCZY UNIA POLITYKI REALNEJ",0.89
"14","KOMITET WYBORCZY WYBORCÓW RUCH WYBORCÓW JANUSZA KORWIN-MIKKE",0.59
"15","KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO",0.3
"16","KOMITET WYBORCZY LEWICA",0.89
"17","KOMITET WYBORCZY WYBORCÓW KRAJOWA WSPÓLNOTA SAMORZĄDOWA",5.64
"18","KOMITET WYBORCZY POLSKA PATRIOTYCZNA",0
"19","KOMITET WYBORCZY LIGA POLSKICH RODZIN",1.78
"20","KOMITET WYBORCZY KRAJOWA PARTIA EMERYTÓW I RENCISTÓW",1.48
